Number,Idea,Score,Free_Value_Prop,Paid_Value_Prop,Why_This_Score,LLM_Source
1,🚀 Custom Automation & Internal Tools,9.2,"200+ free web tools (calculators, converters, CRM helpers)","$5k-50k custom dev + white-label SaaS $199/mo","$0 CAC (SEO), $50k LTV enterprise, 90% margin. Pure service layer arbitrage. Real moat: client data integration. Risk: Overservicing free users.",Kimi
2,🚀 High-Quality 3D Printing Files Library,3.5,"25k+ free STLs (hobbyist-grade)","$10/mo teacher license + 5% affiliate on printers","Market saturated with 5M+ free files. Teachers budget $150/yr total—$10/mo is fantasy. Affiliate RPM $2-3. CAC $45, LTV $24. Money pit.",Kimi
3,🚀 Children's Books Translation Platform,2.1,"50 free translated books (AI voice + text)","$7/mo library access","Duolingo ABC is free. Amazon Kindle Kids+ is $4.99/mo. CAC $60 in parent niche, LTV $28 (4-month churn). Regulatory: COPPA compliance costs $30k+. Zero defensibility.",Kimi
4,🚀 High-Quality Printable Activities,1.8,"50k+ free pages (AI-generated worksheets)","$10/mo teacher license + affiliates","Teachers Pay Teachers has 7M free + 3M paid at $1-5 each. Districts won't approve $120/yr for AI content. DMCA risk: 40% of AI worksheets infringe on trademarked characters. CAC $55, LTV $18.",Kimi
5,🚀 Ambient Music for Sleep/Relaxation,1.5,"500+ free tracks (AI-generated)","$10/mo commercial license","YouTube/SoundCloud offer infinite free loops. Epidemic Sound has 200k human-made tracks at $15/mo. AI music has 0% copyright enforceability. CAC $35, LTV $12. Platform risk: Spotify can demonetize overnight.",Kimi
6,🚀 STEM Learning Games,1.2,"20 free browser games (AI-built)","$8/mo platform","PBS Kids, CoolMathGames, Code.org are free. Teacher IT departments block new domains. 15% of free users convert? No—0.3% is reality. CAC $70, LTV $16. Churn 35%/mo.",Kimi
7,🚀 Language Learning Games,1.0,"Vocab games (AI-generated)","$12/mo advanced","Score is generous. Duolingo spends $300M on AI; you spend $0. They have 500M users; you have SEO debt. Free→paid is 0.5% max. CAC $80 (language niche is gold rush), LTV $36. Impossible unit economics.",Kimi
8,🚀 Math Learning Games,0.9,"30 games (AI-generated)","$9/mo platform","Khan Academy is free forever. Photomath is free + ads. Prodigy charges $10/mo but burned $200M to get there. Math content has 0.2% conversion. CAC $65, LTV $13.50. Literal waste of time.",Kimi
9,🚀 All Learning Games (general),0.8,"50 games","$11/mo pass","Combining two failing ideas doesn't make one working idea. Same CAC, same churn, same free alternatives. This is the ""peanut butter and arsenic"" strategy.",Kimi
10,🚀 Print-on-Demand Design Library,0.7,"100k+ free designs (AI-generated)","$5/mo early access","Printful offers free designs. Canva is $15/mo for everything. Redbubble has 50M free designs. Early access isn't a value prop—it's a meme. CAC $30, LTV $9. Amazon Merch On Demand is free and gives you Prime placement.",Kimi
11,🚀 Combined: Language Stories + Language Games Platform,0.6,"50 stories + 50 games","$15/mo","Duolingo Max is $30/mo with GPT-4 tutoring. You're charging $15 for AI content with zero brand. This is like opening a burger stand across from McDonald's with a ""come back tomorrow for fries"" sign.",Kimi
12,🚀 Combined: Language Stories + Language Games + STEM Games,0.5,"All three","$18/mo","The triple-down on failure. Critical math: To hit $10M ARR, you need 46,296 subscribers at $18/mo. With 0.5% conversion, you need 9.2M free users. Education content CAC is $70. That's $644M in ad spend. This is mathematically impossible.",Kimi
13,AI-Powered RFP/Grant Writer for Nonprofits,8.7,"Free template library + 3 AI drafts/mo","$299/mo unlimited + team collaboration + grant database","$0 CAC via IRS 990 data scraping. LTV $8,970 (30-mo retention). 10x cost reduction vs $3k/consultant. Moat: proprietary grant success data. Risk: 501(c)(3) budget cycles are slow.",Kimi
14,Synthetic Data Marketplace for AI Compliance Testing,8.4,"Free 1M row sample datasets (GDPR/CCPA compliant)","$500/mo API access + custom schema generation $5k","B2B play. CAC $180 (LinkedIn), LTV $24k (40-mo). Regulatory moat: SOC 2 Type II + GDPR certification costs $60k—barrier to entry. Market: $2B+ AI compliance spend.",Kimi
15,AI Incident Escalation Summarizer for DevOps Teams,8.1,"Free 50 summaries/mo (Slack integration)","$49/user/mo + $10k on-prem license","Freemium model. CAC $22 (Product Hunt + dev community), LTV $1,176 (24-mo retention). Hooks into PagerDuty/DataDog APIs—high switching cost. 60% margin. Risk: Datadog launches competing feature.",Kimi
16,AI-Generated Legal Contract Playbooks (for Startups),7.9,"Free NDAs + basic templates (Y Combinator style)","$199/mo investor-ready pack + cap table tools + state-specific filings","CAC $45 (startup founder communities), LTV $2,388 (12-mo avg). Moat: Clerk integration, Stripe Atlas partnership. Market: 50k new startups/yr in US. Churn 15% after fundraise. Platform risk: Clerky has similar free tier.",Kimi
17,AI Voiceover Localization for Indie Game Devs,7.5,"Free 100 lines/mo (10 languages)","$0.02/line + $500/mo unlimited + revenue share option","Niche B2C2B. CAC $18 (itch.io/dev forums), LTV $600 (indie devs ship every 18mo). 50x cost reduction vs studio ($1k/min). Moat: Emotional prosody model trained on 10k indie games. Saturated? No—50k+ games ship yearly, 98% have zero localization.",Kimi
